,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
54,DAL,"Delta Air Lines, Inc.",2009-01-27T00:00:00.000Z,TNS,-0.34,-0.5,-47.06,EST,0,EQUITY
55,DAL,"Delta Air Lines, Inc.",2008-10-15T00:00:00.000Z,TNS,0.0,-0.07,-7592.31,EST,0,EQUITY
56,DAL,"Delta Air Lines, Inc.",2008-07-16T00:00:00.000Z,TNS,0.1,0.35,260.82,EST,0,EQUITY
57,DAL,"Delta Air Lines, Inc.",2008-04-23T00:00:00.000Z,TNS,-0.51,-0.69,-35.07,EST,0,EQUITY
58,DAL,"Delta Air Lines, Inc.",2008-01-23T00:00:00.000Z,TNS,-0.18,-0.18,0.92,EST,0,EQUITY
59,DAL,"Delta Air Lines, Inc.",2007-10-16T00:00:00.000Z,TNS,0.42,0.56,32.7,EST,0,EQUITY
60,DAL,"Delta Air Lines, Inc.",2007-07-18T00:00:00.000Z,TNS,0.59,0.7,18.39,EST,0,EQUITY
61,DAL,"Delta Air Lines, Inc.",2007-02-15T00:00:00.000Z,TNS,-1.03,-1.22,-18.45,EST,0,EQUITY
62,DAL,"Delta Air Lines, Inc.",2006-11-13T00:00:00.000Z,TNS,-1.57,-0.23,85.35,EST,0,EQUITY
63,DAL,"Delta Air Lines, Inc.",2006-08-11T00:00:00.000Z,TNS,-2.65,-11.17,-321.51,EST,0,EQUITY
64,DAL,"Delta Air Lines, Inc.",2006-05-11T00:00:00.000Z,TNS,-2.15,-10.94,-408.84,EST,0,EQUITY
65,DAL,"Delta Air Lines, Inc.",2006-02-14T00:00:00.000Z,TNS,-3.32,-4.13,-24.39,EST,0,EQUITY
66,DAL,"Delta Air Lines, Inc.",2005-11-10T00:00:00.000Z,TNS,-3.0,-2.62,12.55,EST,0,EQUITY
67,DAL,"Delta Air Lines, Inc.",2005-07-21T00:00:00.000Z,TNS,-2.37,-2.11,10.97,EST,0,EQUITY
68,DAL,"Delta Air Lines, Inc.",2005-04-21T00:00:00.000Z,TNS,-4.76,-4.89,-2.78,EST,0,EQUITY
69,DAL,"Delta Air Lines, Inc.",2005-01-20T00:00:00.000Z,TNS,-5.51,-5.88,-6.73,EST,0,EQUITY
70,DAL,"Delta Air Lines, Inc.",2004-10-20T00:00:00.000Z,TNS,-4.38,-4.73,-7.97,EST,0,EQUITY
71,DAL,"Delta Air Lines, Inc.",2004-07-19T00:00:00.000Z,TNS,-2.46,-2.55,-3.54,EST,0,EQUITY
72,DAL,"Delta Air Lines, Inc.",2004-04-14T00:00:00.000Z,TNS,-3.02,-3.12,-3.4,EST,0,EQUITY
73,DAL,"Delta Air Lines, Inc.",2004-01-14T00:00:00.000Z,TNS,-1.65,-1.71,-3.32,EST,0,EQUITY
74,DAL,"Delta Air Lines, Inc.",2003-10-14T00:00:00.000Z,TNS,-1.46,-1.43,1.89,EST,0,EQUITY
75,DAL,"Delta Air Lines, Inc.",2003-07-17T00:00:00.000Z,TNS,-2.08,-1.95,6.33,EST,0,EQUITY
76,DAL,"Delta Air Lines, Inc.",2003-04-17T00:00:00.000Z,TNS,-3.51,-3.49,0.61,EST,0,EQUITY
77,DAL,"Delta Air Lines, Inc.",2003-01-16T00:00:00.000Z,TNS,-2.29,-1.9,17.21,EST,0,EQUITY
78,DAL,"Delta Air Lines, Inc.",2002-10-15T00:00:00.000Z,TNS,-1.84,-1.75,4.99,EST,0,EQUITY
79,DAL,"Delta Air Lines, Inc.",2002-07-18T00:00:00.000Z,TNS,-1.39,-1.34,3.6,EST,0,EQUITY
80,DAL,"Delta Air Lines, Inc.",2002-04-16T00:00:00.000Z,TNS,-2.87,-2.9,-1.16,EST,0,EQUITY
81,DAL,"Delta Air Lines, Inc.",2002-01-31T00:00:00.000Z,TNS,-3.89,-3.97,-1.97,EST,0,EQUITY
82,DAL,"Delta Air Lines, Inc.",2001-11-01T00:00:00.000Z,TNS,-2.7,-2.43,10.15,EST,0,EQUITY
83,DAL,"Delta Air Lines, Inc.",2001-07-19T00:00:00.000Z,TNS,-1.2,-1.03,14.38,EST,0,EQUITY
84,DAL,"Delta Air Lines, Inc.",2001-04-18T00:00:00.000Z,TNS,-0.86,-1.02,-18.35,EST,0,EQUITY
85,DAL,"Delta Air Lines, Inc.",2001-01-18T00:00:00.000Z,TNS,0.6,0.6,-0.18,EST,0,EQUITY
86,DAL,"Delta Air Lines, Inc.",2000-10-17T00:00:00.000Z,TNS,2.06,2.08,0.87,EST,0,EQUITY
87,DAL,"Delta Air Lines, Inc.",2000-07-20T00:00:00.000Z,TNS,2.71,2.86,5.68,EST,0,EQUITY
88,DAL,"Delta Air Lines, Inc.",2000-04-18T00:00:00.000Z,TNS,1.12,1.33,18.27,EST,0,EQUITY
89,DAL,"Delta Air Lines, Inc.",2000-01-18T00:00:00.000Z,TNS,1.09,1.24,13.67,EST,0,EQUITY
90,DAL,"Delta Air Lines, Inc.",1999-10-18T00:00:00.000Z,TNS,1.93,1.96,1.7,EST,0,EQUITY
91,DAL,"Delta Air Lines, Inc.",1999-07-19T00:00:00.000Z,TNS,2.29,2.4,4.62,EST,0,EQUITY
92,DAL,"Delta Air Lines, Inc.",1999-04-15T00:00:00.000Z,TNS,1.23,1.51,22.49,EST,0,EQUITY
93,DAL,"Delta Air Lines, Inc.",1999-01-19T00:00:00.000Z,TNS,1.3,1.29,-0.81,EST,0,EQUITY
94,DAL,"Delta Air Lines, Inc.",1998-10-15T00:00:00.000Z,TNS,1.89,2.08,10.28,EST,0,EQUITY
95,DAL,"Delta Air Lines, Inc.",1998-07-16T00:00:00.000Z,TNS,2.15,2.26,5.02,EST,0,EQUITY
96,DAL,"Delta Air Lines, Inc.",1998-04-20T00:00:00.000Z,TNS,1.38,1.23,-11.41,EST,0,EQUITY
97,DAL,"Delta Air Lines, Inc.",1998-01-21T00:00:00.000Z,TNS,0.93,1.2,28.65,EST,0,EQUITY
98,DAL,"Delta Air Lines, Inc.",1997-10-23T00:00:00.000Z,TNS,1.49,1.63,9.46,EST,0,EQUITY
99,DAL,"Delta Air Lines, Inc.",1997-07-24T00:00:00.000Z,TNS,2.03,1.95,-3.86,EST,0,EQUITY
